Ticker,Financial Year End,Total Revenue,COGS,SG&A Expenses,Net Income,Basic EPS,Depreciation,Operating Cash Flow (CFO),Dividends Paid,Total Assets,Current Assets,Receivables,PP&E,Total Long-Term Debt,Current Liabilities,Total Equity,Trailing P/E (Historical),Current Trailing P/E (Live),Current PEG Ratio (Live)
TECHNOE.NS,2024-03-31,14975874000.0,11603664000.0,219358000.0,2684573000.0,24.94,78429000.0,-1982397000.0,645714000.0,28336754000.0,24312073000.0,7410641000.0,3711265000.0,,5654507000.0,21632070000.0,,28.810518,
TECHNOE.NS,2023-03-31,8273553000.0,6257963000.0,146659000.0,1868596000.0,17.1,245540000.0,933583000.0,219920000.0,27688823000.0,25726199000.0,6413122000.0,1758240000.0,,5799712000.0,19301758000.0,,28.810518,
TECHNOE.NS,2022-03-31,9896980000.0,7462664000.0,120171000.0,2638936000.0,23.99,412591000.0,2592742000.0,494560000.0,25159923000.0,20365411000.0,5840161000.0,4581164000.0,,4273670000.0,18367302000.0,,28.810518,
TECHNOE.NS,2021-03-31,,,,,,,,,,,,,,,,,28.810518,
TEJASNET.NS,2025-03-31,84549600000.0,65579400000.0,1425900000.0,4465300000.0,25.75,3531900000.0,-4914900000.0,,104619700000.0,84131600000.0,44438500000.0,5152200000.0,1181500000.0,62291600000.0,38463200000.0,,,
TEJASNET.NS,2024-03-31,23143200000.0,15890100000.0,535500000.0,629800000.0,3.71,1824500000.0,-20364800000.0,,82025300000.0,67684600000.0,14101500000.0,3522900000.0,0.0,47366500000.0,31494900000.0,,,
TEJASNET.NS,2023-03-31,9195700000.0,5607300000.0,330800000.0,-364100000.0,-2.46,1225000000.0,-3801400000.0,,36020300000.0,26673200000.0,4771900000.0,1293400000.0,,4263700000.0,29729600000.0,,,
TEJASNET.NS,2022-03-31,5505900000.0,3109400000.0,343600000.0,-627100000.0,-5.97,767800000.0,-173300000.0,,21101200000.0,17497300000.0,2850900000.0,546500000.0,,1674300000.0,19302500000.0,,,
TEJASNET.NS,2021-03-31,,,,,,,,,,,,,,,,,,
NIACL.NS,2025-03-31,440636600000.0,,2060300000.0,10366300000.0,6.29,,,,1097676900000.0,,55614500000.0,4532400000.0,,,289951100000.0,,24.283688,
NIACL.NS,2024-03-31,442690800000.0,,2120300000.0,11164800000.0,6.77,,,,1074461300000.0,,58160000000.0,4742300000.0,,,282959800000.0,,24.283688,
NIACL.NS,2023-03-31,418348668000.0,,1340020000.0,10480008000.0,6.36,,,,982228735000.0,,60867947000.0,5071111000.0,,,258634968000.0,,24.283688,
NIACL.NS,2022-03-31,365322910000.0,,1098861000.0,1945708000.0,1.18,,,,964963857000.0,,69676261000.0,5105716000.0,,,258049278000.0,,24.283688,
NIACL.NS,2021-03-31,,,,,,,,,,,,,,,,,24.283688,
RAMCOCEM.NS,2021-03-31,,,,,,,,708400000.0,,,,,,,,,67.86675,
RAMCOCEM.NS,2022-03-31,59700800000.0,27270900000.0,1382900000.0,8814800000.0,39.0,4022300000.0,11348900000.0,,131585300000.0,17073700000.0,3507100000.0,108118900000.0,28572900000.0,27826900000.0,66185900000.0,,67.86675,
RAMCOCEM.NS,2023-03-31,81223600000.0,45334400000.0,1587900000.0,3145200000.0,13.76,5059800000.0,14115000000.0,709600000.0,145947400000.0,18868700000.0,4651000000.0,121185500000.0,36221600000.0,30880900000.0,68610600000.0,,67.86675,
RAMCOCEM.NS,2024-03-31,93486900000.0,48704700000.0,2271300000.0,3599500000.0,15.77,6463100000.0,18981300000.0,473100000.0,162727300000.0,22499600000.0,8557000000.0,133605000000.0,39272100000.0,39714300000.0,72379000000.0,,67.86675,
RAMCOCEM.NS,2025-03-31,84916700000.0,44089600000.0,1826000000.0,2726500000.0,11.53,6950500000.0,13987800000.0,591300000.0,163295000000.0,22381500000.0,7295900000.0,135954800000.0,33790500000.0,43131600000.0,74416500000.0,,67.86675,
THERMAX.NS,2021-03-31,,,,,,,,,,,,,,,,,54.468006,
THERMAX.NS,2022-03-31,60640300000.0,36649200000.0,3273100000.0,3123100000.0,27.73,1132400000.0,3247100000.0,788300000.0,74611100000.0,47377900000.0,14237200000.0,12126900000.0,614200000.0,37580700000.0,34924900000.0,,54.468006,
THERMAX.NS,2023-03-31,80339000000.0,48547900000.0,4011600000.0,4502900000.0,39.98,1168600000.0,4595600000.0,1021300000.0,88386100000.0,60801600000.0,17620600000.0,17968900000.0,4225200000.0,44091900000.0,38680700000.0,,54.468006,
THERMAX.NS,2024-03-31,92372400000.0,54480200000.0,4144100000.0,6452800000.0,57.3,1480800000.0,2473000000.0,1127500000.0,101530100000.0,64486300000.0,21164300000.0,24997600000.0,7894800000.0,47253500000.0,44398000000.0,,54.468006,
THERMAX.NS,2025-03-31,102558100000.0,60381900000.0,4657200000.0,6344700000.0,56.33,1585100000.0,10427900000.0,1352300000.0,120380200000.0,73219800000.0,24175000000.0,33330700000.0,11615500000.0,56350900000.0,49368900000.0,,54.468006,
TIMKEN.NS,2025-03-31,31341910000.0,20779950000.0,1053240000.0,4473860000.0,59.48,847700000.0,3872980000.0,188020000.0,34253560000.0,19525740000.0,6998240000.0,11018290000.0,,5117180000.0,28448650000.0,,50.600296,
TIMKEN.NS,2024-03-31,28957130000.0,18804540000.0,1029460000.0,3921420000.0,52.13,851680000.0,3399190000.0,112830000.0,29875800000.0,18487460000.0,6519490000.0,7578980000.0,,4731960000.0,24172640000.0,,50.600296,
TIMKEN.NS,2023-03-31,27878540000.0,18258480000.0,880880000.0,3907450000.0,51.95,871990000.0,3411580000.0,112830000.0,25565340000.0,16116870000.0,5757350000.0,5759480000.0,,4273260000.0,20371720000.0,,50.600296,
TIMKEN.NS,2022-03-31,21818280000.0,14146720000.0,661030000.0,3271050000.0,43.49,843370000.0,328940000.0,112830000.0,21937930000.0,12599760000.0,5387550000.0,5653060000.0,,4357740000.0,16569420000.0,,50.600296,
TIMKEN.NS,2021-03-31,,,,,,,,,,,,,,,,,50.600296,
TITAGARH.NS,2025-03-31,38677500000.0,33314500000.0,,2763900000.0,20.41,295800000.0,-974100000.0,107700000.0,37622900000.0,21791800000.0,6708500000.0,9537800000.0,249300000.0,10976000000.0,24829800000.0,,53.69475,
TITAGARH.NS,2024-03-31,38053100000.0,33176300000.0,164000000.0,2861400000.0,22.46,271000000.0,857800000.0,63800000.0,32164100000.0,19868100000.0,5325200000.0,8461400000.0,373600000.0,7300500000.0,22183300000.0,,53.69475,
TITAGARH.NS,2023-03-31,27553145000.0,24586949000.0,138765000.0,1302037000.0,10.89,225035000.0,409168000.0,228000.0,20271355000.0,11212259000.0,2791449000.0,7341791000.0,496250000.0,8693324000.0,9635517000.0,,53.69475,
TITAGARH.NS,2022-03-31,14420670000.0,12397523000.0,100092000.0,-3284000.0,-0.03,332748000.0,545889000.0,273000.0,26789079000.0,15016689000.0,2325663000.0,9541155000.0,4955775000.0,12665072000.0,8421282000.0,,53.69475,
TITAGARH.NS,2021-03-31,,,232550000.0,,,,,,,,,,,,,,53.69475,
TITAN.NS,2021-03-31,,,,,,,,,,,,,,,,,83.14003,
TITAN.NS,2022-03-31,287360000000.0,216850000000.0,16540000000.0,21730000000.0,24.48,3990000000.0,-7240000000.0,3550000000.0,211940000000.0,174540000000.0,5650000000.0,22600000000.0,20000000.0,105120000000.0,93030000000.0,,83.14003,
